"OCC_CODE","TITLE","OCC_GROUP","TOTAL_EMPLOYEES","SALARY","YEAR","OCC_CODE_SHORT"
"11_0000","Management Occupations","major",6003930,96150,2007,"11"
"23_0000","Legal Occupations","major",998590,88450,2007,"23"
"15_0000","Computer And Mathematical Occupations","major",3191360,72190,2007,"15"
"17_0000","Architecture And Engineering Occupations","major",2486020,68880,2007,"17"
"29_0000","Healthcare Practitioners And Technical Occupations","major",6877680,65020,2007,"29"
"13_0000","Business And Financial Operations Occupations","major",6015500,62410,2007,"13"
"19_0000","Life, Physical, And Social Science Occupations","major",1255670,62020,2007,"19"
"27_0000","Arts, Design, Entertainment, Sports, And Media Occupations","major",1761270,48410,2007,"27"
"25_0000","Education, Training, And Library Occupations","major",8316360,46610,2007,"25"
"47_0000","Construction And Extraction Occupations","major",6708200,40620,2007,"47"
"21_0000","Community And Social Services Occupations","major",1793040,40540,2007,"21"
"49_0000","Installation, Maintenance, And Repair Occupations","major",5390090,39930,2007,"49"
"33_0000","Protective Service Occupations","major",3087650,38750,2007,"33"
"41_0000","Sales And Related Occupations","major",14332020,35240,2007,"41"
"51_0000","Production Occupations","major",10146560,31310,2007,"51"
"43_0000","Office And Administrative Support Occupations","major",23270810,31200,2007,"43"
"53_0000","Transportation And Material Moving Occupations","major",9629030,30680,2007,"53"
"31_0000","Healthcare Support Occupations","major",3625240,25600,2007,"31"
"39_0000","Personal Care And Service Occupations","major",3339510,23980,2007,"39"
"37_0000","Building And Grounds Cleaning And Maintenance Occupations","major",4403900,23560,2007,"37"
"45_0000","Farming, Fishing, And Forestry Occupations","major",448000,22640,2007,"45"
"35_0000","Food Preparation And Serving Related Occupations","major",11273850,19440,2007,"35"
"11_0000","Management Occupations","major",6152650,100310,2008,"11"
"23_0000","Legal Occupations","major",1003270,92270,2008,"23"
"15_0000","Computer And Mathematical Science Occupations","major",3308260,74500,2008,"15"
"17_0000","Architecture And Engineering Occupations","major",2521630,71430,2008,"17"
"29_0000","Healthcare Practitioners And Technical Occupations","major",7076800,67890,2008,"29"
"13_0000","Business And Financial Operations Occupations","major",6135520,64720,2008,"13"
"19_0000","Life, Physical, And Social Science Occupations","major",1296840,64280,2008,"19"
"27_0000","Arts, Design, Entertainment, Sports, And Media Occupations","major",1804940,50670,2008,"27"
"25_0000","Education, Training, And Library Occupations","major",8451250,48460,2008,"25"
"47_0000","Construction And Extraction Occupations","major",6548760,42350,2008,"47"
"21_0000","Community And Social Services Occupations","major",1861750,41790,2008,"21"
"49_0000","Installation, Maintenance, And Repair Occupations","major",5374850,41230,2008,"49"
"33_0000","Protective Service Occupations","major",3128960,40200,2008,"33"
"41_0000","Sales And Related Occupations","major",14336430,36080,2008,"41"
"51_0000","Production Occupations","major",9919120,32320,2008,"51"
"43_0000","Office And Administrative Support Occupations","major",23231750,32220,2008,"43"
"53_0000","Transportation And Material Moving Occupations","major",9508750,31450,2008,"53"
"31_0000","Healthcare Support Occupations","major",3779280,26340,2008,"31"
"37_0000","Building And Grounds Cleaning And Maintenance Occupations","major",4429870,24370,2008,"37"
"39_0000","Personal Care And Service Occupations","major",3437520,24120,2008,"39"
"45_0000","Farming, Fishing, And Forestry Occupations","major",438490,23560,2008,"45"
"35_0000","Food Preparation And Serving Related Occupations","major",11438550,20220,2008,"35"
"11_0000","Management Occupations","major",6116380,102900,2009,"11"
"23_0000","Legal Occupations","major",999020,95820,2009,"23"
"15_0000","Computer And Mathematical Science Occupations","major",3303690,76290,2009,"15"
"17_0000","Architecture And Engineering Occupations","major",2412730,73590,2009,"17"
"29_0000","Healthcare Practitioner And Technical Occupations","major",7200950,69690,2009,"29"
"13_0000","Business And Financial Operations Occupations","major",6063670,65900,2009,"13"
"19_0000","Life, Physical, And Social Science Occupations","major",1308380,65660,2009,"19"
"27_0000","Arts, Design, Entertainment, Sports, And Media Occupations","major",1745670,51720,2009,"27"
"25_0000","Education, Training, And Library Occupations","major",8488740,49530,2009,"25"
"47_0000","Construction And Extraction Occupations","major",5751630,43350,2009,"47"
"21_0000","Community And Social Services Occupations","major",1891320,42750,2009,"21"
"49_0000","Installation, Maintenance, And Repair Occupations","major",5114150,42210,2009,"49"
"33_0000","Protective Service Occupations","major",3172420,41740,2009,"33"
"41_0000","Sales And Related Occupations","major",13715050,36020,2009,"41"
"51_0000","Production Occupations","major",8927130,33290,2009,"51"
"43_0000","Office And Administrative Support Occupations","major",22336450,32990,2009,"43"
"53_0000","Transportation And Material Moving Occupations","major",8844700,32180,2009,"53"
"31_0000","Healthcare Support Occupations","major",3886690,26710,2009,"31"
"37_0000","Building And Grounds Cleaning And Maintenance Occupations","major",4269480,24970,2009,"37"
"39_0000","Personal Care And Service Occupations","major",3461910,24680,2009,"39"
"45_0000","Farming, Fishing, And Forestry Occupations","major",419200,23990,2009,"45"
"35_0000","Food Preparation And Serving Related Occupations","major",11218260,20880,2009,"35"
"11_0000","Management Occupations","major",6022860,105440,2010,"11"
"23_0000","Legal Occupations","major",992650,96940,2010,"23"
"15_0000","Computer And Mathematical Occupations","major",3283950,77230,2010,"15"
"17_0000","Architecture And Engineering Occupations","major",2305530,75550,2010,"17"
"29_0000","Healthcare Practitioners And Technical Occupations","major",7346580,71280,2010,"29"
"13_0000","Business And Financial Operations Occupations","major",6090910,67690,2010,"13"
"19_0000","Life, Physical, And Social Science Occupations","major",1064510,66390,2010,"19"
"27_0000","Arts, Design, Entertainment, Sports, And Media Occupations","major",1716640,52290,2010,"27"
"25_0000","Education, Training, And Library Occupations","major",8457870,50440,2010,"25"
"47_0000","Construction And Extraction Occupations","major",5072530,43870,2010,"47"
"21_0000","Community And Social Service Occupations","major",1901180,43180,2010,"21"
"49_0000","Installation, Maintenance, And Repair Occupations","major",4928960,42810,2010,"49"
"33_0000","Protective Service Occupations","major",3187810,42490,2010,"33"
"41_0000","Sales And Related Occupations","major",13437980,36790,2010,"41"
"51_0000","Production Occupations","major",8236340,33770,2010,"51"
"43_0000","Office And Administrative Support Occupations","major",21503800,33470,2010,"43"
"53_0000","Transportation And Material Moving Occupations","major",8547980,32660,2010,"53"
"31_0000","Healthcare Support Occupations","major",3962930,26920,2010,"31"
"37_0000","Building And Grounds Cleaning And Maintenance Occupations","major",4175550,25300,2010,"37"
"39_0000","Personal Care And Service Occupations","major",3425220,24590,2010,"39"
"45_0000","Farming, Fishing, And Forestry Occupations","major",408040,24330,2010,"45"
"35_0000","Food Preparation And Serving Related Occupations","major",11027340,21240,2010,"35"
"11_0000","Management Occupations","major",6183820,107410,2011,"11"
"23_0000","Legal Occupations","major",1002330,98380,2011,"23"
"15_0000","Computer And Mathematical Occupations","major",3406720,78730,2011,"15"
"17_0000","Architecture And Engineering Occupations","major",2310830,77120,2011,"17"
"29_0000","Healthcare Practitioners And Technical Occupations","major",7514980,72730,2011,"29"
"13_0000","Business And Financial Operations Occupations","major",6178070,68740,2011,"13"
"19_0000","Life, Physical, And Social Science Occupations","major",1082370,67470,2011,"19"
"27_0000","Arts, Design, Entertainment, Sports, And Media Occupations","major",1725670,53850,2011,"27"
"25_0000","Education, Training, And Library Occupations","major",8409060,50870,2011,"25"
"47_0000","Construction And Extraction Occupations","major",4956770,44630,2011,"47"
"21_0000","Community And Social Service Occupations","major",1890410,43830,2011,"21"
"49_0000","Installation, Maintenance, And Repair Occupations","major",4988980,43390,2011,"49"
"33_0000","Protective Service Occupations","major",3202500,42730,2011,"33"
"41_0000","Sales And Related Occupations","major",13646450,37520,2011,"41"
"51_0000","Production Occupations","major",8365980,34220,2011,"51"
"43_0000","Office And Administrative Support Occupations","major",21384330,34120,2011,"43"
"53_0000","Transportation And Material Moving Occupations","major",8635940,33200,2011,"53"
"31_0000","Healthcare Support Occupations","major",3954070,27370,2011,"31"
"37_0000","Building And Grounds Cleaning And Maintenance Occupations","major",4191750,25560,2011,"37"
"39_0000","Personal Care And Service Occupations","major",3619250,24620,2011,"39"
"45_0000","Farming, Fishing, And Forestry Occupations","major",409590,24300,2011,"45"
"35_0000","Food Preparation And Serving Related Occupations","major",11218710,21430,2011,"35"
"11_0000","Management Occupations","major",6390430,108570,2012,"11"
"23_0000","Legal Occupations","major",1023020,98570,2012,"23"
"15_0000","Computer And Mathematical Occupations","major",3578220,80180,2012,"15"
"17_0000","Architecture And Engineering Occupations","major",2356530,79000,2012,"17"
"29_0000","Healthcare Practitioners And Technical Occupations","major",7649930,73540,2012,"29"
"13_0000","Business And Financial Operations Occupations","major",6419370,69550,2012,"13"
"19_0000","Life, Physical, And Social Science Occupations","major",1104100,68360,2012,"19"
"27_0000","Arts, Design, Entertainment, Sports, And Media Occupations","major",1750130,54490,2012,"27"
"25_0000","Education, Training, And Library Occupations","major",8374910,51210,2012,"25"
"47_0000","Construction And Extraction Occupations","major",4978290,44960,2012,"47"
"21_0000","Community And Social Service Occupations","major",1882080,44240,2012,"21"
"49_0000","Installation, Maintenance, And Repair Occupations","major",5069590,43870,2012,"49"
"33_0000","Protective Service Occupations","major",3207790,43050,2012,"33"
"41_0000","Sales And Related Occupations","major",13835090,37990,2012,"41"
"51_0000","Production Occupations","major",8594170,34500,2012,"51"
"43_0000","Office And Administrative Support Occupations","major",21355350,34410,2012,"43"
"53_0000","Transportation And Material Moving Occupations","major",8771690,33590,2012,"53"
"31_0000","Healthcare Support Occupations","major",3915460,27780,2012,"31"
"37_0000","Building And Grounds Cleaning And Maintenance Occupations","major",4246260,25670,2012,"37"
"39_0000","Personal Care And Service Occupations","major",3810750,24550,2012,"39"
"45_0000","Farming, Fishing, And Forestry Occupations","major",427670,24230,2012,"45"
"35_0000","Food Preparation And Serving Related Occupations","major",11546880,21380,2012,"35"
"11_0000","Management Occupations","major",6542950,110550,2013,"11"
"23_0000","Legal Occupations","major",1041700,99620,2013,"23"
"15_0000","Computer And Mathematical Occupations","major",3696180,82010,2013,"15"
"17_0000","Architecture And Engineering Occupations","major",2380840,80100,2013,"17"
"29_0000","Healthcare Practitioners And Technical Occupations","major",7755810,74740,2013,"29"
"13_0000","Business And Financial Operations Occupations","major",6658090,71020,2013,"13"
"19_0000","Life, Physical, And Social Science Occupations","major",1135030,69400,2013,"19"
"27_0000","Arts, Design, Entertainment, Sports, And Media Occupations","major",1758310,55580,2013,"27"
"25_0000","Education, Training, And Library Occupations","major",8400640,51500,2013,"25"
"47_0000","Construction And Extraction Occupations","major",5088030,45630,2013,"47"
"21_0000","Community And Social Service Occupations","major",1901730,44710,2013,"21"
"49_0000","Installation, Maintenance, And Repair Occupations","major",5138130,44420,2013,"49"
"33_0000","Protective Service Occupations","major",3257690,43510,2013,"33"
"41_0000","Sales And Related Occupations","major",14068190,38200,2013,"41"
"51_0000","Production Occupations","major",8765180,34930,2013,"51"
"43_0000","Office And Administrative Support Occupations","major",21442800,34900,2013,"43"
"53_0000","Transportation And Material Moving Occupations","major",9005120,33860,2013,"53"
"31_0000","Healthcare Support Occupations","major",3924390,28300,2013,"31"
"37_0000","Building And Grounds Cleaning And Maintenance Occupations","major",4291410,26010,2013,"37"
"39_0000","Personal Care And Service Occupations","major",3986740,24710,2013,"39"
"45_0000","Farming, Fishing, And Forestry Occupations","major",435250,24330,2013,"45"
"35_0000","Food Preparation And Serving Related Occupations","major",11914590,21580,2013,"35"
"11_0000","Management Occupations","major",6741640,112490,2014,"11"
"23_0000","Legal Occupations","major",1052900,101110,2014,"23"
"15_0000","Computer And Mathematical Occupations","major",3834180,83970,2014,"15"
"17_0000","Architecture And Engineering Occupations","major",2418020,81520,2014,"17"
"29_0000","Healthcare Practitioners And Technical Occupations","major",7854380,76010,2014,"29"
"13_0000","Business And Financial Operations Occupations","major",6828940,72410,2014,"13"
"19_0000","Life, Physical, And Social Science Occupations","major",1144440,70070,2014,"19"
"27_0000","Arts, Design, Entertainment, Sports, And Media Occupations","major",1793700,55790,2014,"27"
"25_0000","Education, Training, And Library Occupations","major",8435780,52210,2014,"25"
"47_0000","Construction And Extraction Occupations","major",5290270,46600,2014,"47"
"21_0000","Community And Social Service Occupations","major",1930750,45310,2014,"21"
"49_0000","Installation, Maintenance, And Repair Occupations","major",5244670,45220,2014,"49"
"33_0000","Protective Service Occupations","major",3297180,43980,2014,"33"
"41_0000","Sales And Related Occupations","major",14248470,38660,2014,"41"
"43_0000","Office And Administrative Support Occupations","major",21638470,35530,2014,"43"
"51_0000","Production Occupations","major",8934050,35490,2014,"51"
"53_0000","Transportation And Material Moving Occupations","major",9249310,34460,2014,"53"
"31_0000","Healthcare Support Occupations","major",3940500,28820,2014,"31"
"37_0000","Building And Grounds Cleaning And Maintenance Occupations","major",4371450,26370,2014,"37"
"45_0000","Farming, Fishing, And Forestry Occupations","major",447130,25160,2014,"45"
"39_0000","Personal Care And Service Occupations","major",4154360,24980,2014,"39"
"35_0000","Food Preparation And Serving Related Occupations","major",12277720,21980,2014,"35"
"11_0000","Management Occupations","major",6936990,115020,2015,"11"
"23_0000","Legal Occupations","major",1062370,103460,2015,"23"
"15_0000","Computer And Mathematical Occupations","major",4005250,86170,2015,"15"
"17_0000","Architecture And Engineering Occupations","major",2475390,82980,2015,"17"
"29_0000","Healthcare Practitioners And Technical Occupations","major",8021800,77800,2015,"29"
"13_0000","Business And Financial Operations Occupations","major",7032560,73800,2015,"13"
"19_0000","Life, Physical, And Social Science Occupations","major",1146110,71220,2015,"19"
"27_0000","Arts, Design, Entertainment, Sports, And Media Occupations","major",1843600,56980,2015,"27"
"25_0000","Education, Training, And Library Occupations","major",8542670,53000,2015,"25"
"47_0000","Construction And Extraction Occupations","major",5477820,47580,2015,"47"
"21_0000","Community And Social Service Occupations","major",1972140,46160,2015,"21"
"49_0000","Installation, Maintenance, And Repair Occupations","major",5374150,45990,2015,"49"
"33_0000","Protective Service Occupations","major",3351620,44610,2015,"33"
"41_0000","Sales And Related Occupations","major",14462120,39320,2015,"41"
"43_0000","Office And Administrative Support Occupations","major",21846420,36330,2015,"43"
"51_0000","Production Occupations","major",9073290,36220,2015,"51"
"53_0000","Transportation And Material Moving Occupations","major",9536610,35160,2015,"53"
"31_0000","Healthcare Support Occupations","major",3989910,29520,2015,"31"
"37_0000","Building And Grounds Cleaning And Maintenance Occupations","major",4407050,27080,2015,"37"
"45_0000","Farming, Fishing, And Forestry Occupations","major",454230,26360,2015,"45"
"39_0000","Personal Care And Service Occupations","major",4307500,25650,2015,"39"
"35_0000","Food Preparation And Serving Related Occupations","major",12577080,22850,2015,"35"
